Reaction ID,Reaction name,Subsystem,Present in,"Carbon-normalised yield (Am, reference)",Carbon-normalised yield (Af),"Yield difference (Am - Af, Am as reference)",Higher yield in,Active in pFBA (Af),Active in pFBA (Am)
MAR20161,Transport of dTDP (c->m) #3,Transport reactions,both,-7.210432615748503e-05,-0.0267348667570386,0.026662762430881115,Am,True,True
MAR20156,Transport reaction #117,Transport reactions,both,7.210432615748503e-05,0.0267348667570386,-0.026662762430881115,Af,True,True
MAR08274,DTMP Kinase in Mitochondria,Pyrimidine metabolism,both,7.210432615748503e-05,0.0267348667570386,-0.026662762430881115,Af,True,True
MAR05304,Transport of dTMP (c->m),Transport reactions,both,7.210432615748503e-05,0.0267348667570386,-0.026662762430881115,Af,True,True
MAR09983,"Transport of 5,6-Dihydrouracil/Na+ (c->e)",Transport reactions,both,0.0,0.0266506825851424,-0.0266506825851424,Af,True,False
MAR10193,"Exchange of 5,6-Dihydrouracil",Exchange/demand reactions,both,0.0,0.0266506825851424,-0.0266506825851424,Af,True,False
MAR04344,"5,6-dihydrouracil:NAD+ oxidoreductase",Nucleotide metabolism,both,0.0,-0.0266506825851424,0.0266506825851424,Am,True,False
MAR20138,Transport reaction #112,Transport reactions,both,0.0,0.0266506329268083,-0.0266506329268083,Af,True,False
MAR07865,UDP reaction (c),Nucleotide metabolism,both,0.0,-0.0265175040388695,0.0265175040388695,Am,True,False
MAR04008,ATP:UMP phosphotransferase (c),Pyrimidine metabolism,both,0.026775115105977,0.053125449199733,-0.026350334093756,Af,True,True
MAR02351,Transport reaction #11,Transport reactions,both,0.042832760422644,0.0687092069925276,-0.025876446569883596,Af,True,True
MAR03951,Transport of Na+/sulfite (c->e),Transport reactions,Am only,0.0254321889157255,0.0,0.0254321889157255,Am,False,True
MAR10363,Transport of methylmalonate/sulfite (c->e/e->c),Transport reactions,Am only,0.0254321889157255,0.0,0.0254321889157255,Am,False,True
MAR04922,Transport reaction #37,Transport reactions,both,0.0022390827121744,0.0275707310647981,-0.0253316483526237,Af,True,True
MAR03956,carbonate hydro-lyase (carbon-dioxide-forming) (m),Arginine and proline metabolism,both,0.0022390827121744,0.0275707310647981,-0.0253316483526237,Af,True,True
MAR02225,Transport of HCO3 (c->m),Transport reactions,both,-0.0022390827121744,-0.0275707310647981,0.0253316483526237,Am,True,True
MAR03955,carbonate hydro-lyase (carbon-dioxide-forming) (c),Miscellaneous,both,-0.005245080178759,-0.0275707310647981,0.0223256508860391,Am,True,True
MAR04848,Transport of hypoxanthine (c->e),Transport reactions,both,0.0040229322953053,-0.0165661893484043,0.0205891216437096,Am,True,True
MAR09358,Exchange of hypoxanthine,Exchange/demand reactions,both,0.0040229322953053,-0.0165661893484043,0.0205891216437096,Am,True,True
MAR04574,inosine:phosphate alpha-D-ribosyltransferase,Purine metabolism,both,0.0040229322953053,-0.0165661893484043,0.0205891216437096,Am,True,True
MAR09862,Exchange of 3-phospho-D-glycerate,Exchange/demand reactions,both,0.0065547451533099,0.0269101047098196,-0.0203553595565097,Af,True,True
MAR09836,Transport of 3-phospho-D-glycerate (e->c),Transport reactions,both,-0.0065547451533099,-0.0269101047098196,0.0203553595565097,Am,True,True
MAR04373,D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating),Glycolysis / Gluconeogenesis,both,-0.0065547451533099,-0.0269101047098196,0.0203553595565097,Am,True,True
MAR04368,ATP:3-phospho-D-glycerate 1-phosphotransferase,Glycolysis / Gluconeogenesis,both,0.0065547451533099,0.0269101047098196,-0.0203553595565097,Af,True,True
MAR04002,ATP:AMP phosphotransferase (c),Purine metabolism,both,0.0,-0.018375909963933,0.018375909963933,Am,True,False
MAR04350,ATP:D-ribose 5-phosphotransferase,Pentose phosphate pathway,both,0.0271574922074079,0.0099603474014661,0.017197144805941804,Am,True,True
MAR04354,"D-Ribose 1,5-phosphomutase",Pentose phosphate pathway,both,0.0271574922074079,0.0099603474014661,0.017197144805941804,Am,True,True
MAR09406,Exchange of ribose,Exchange/demand reactions,both,0.0271574922074079,0.0099603474014661,0.017197144805941804,Am,True,True
MAR04958,Transport of ribose (c->e),Transport reactions,both,0.0271574922074079,0.0099603474014661,0.017197144805941804,Am,True,True
MAR03980,hydrogen-peroxide:hydrogen-peroxide oxidoreductase (c),ROS detoxification,both,0.0084236797480999,0.025269497991533,-0.0168458182434331,Af,True,True
MAR09362,Exchange of inosine,Exchange/demand reactions,both,0.0,0.0165661893484043,-0.0165661893484043,Af,True,False
MAR05042,Transport of inosine (c->e),Transport reactions,both,0.0,0.0165661893484043,-0.0165661893484043,Af,True,False
MAR10366,Transport of methylmalonate (c->e),Transport reactions,both,-0.0311120225553912,-0.0152433681575144,-0.015868654397876804,Af,True,True
MAR01616,"Phenylalanine Transaminase, Mitochondrial",Phenylalanine metabolism,Af only,0.0,0.0134761668403182,-0.0134761668403182,Af,True,False
MAR05115,Transport of phenylalanine (c->m),Transport reactions,Af only,0.0,0.0134761668403182,-0.0134761668403182,Af,True,False
MAR11443,Transport of phenylpyruvate (m->c),Transport reactions,Af only,0.0,0.0134761668403182,-0.0134761668403182,Af,True,False
MAR04375,DHAP lyase,Glycolysis / Gluconeogenesis,both,0.0,-0.0134550771840768,0.0134550771840768,Am,True,False
MAR11973,"Transport of fructose-1,6-bisphosphate (c->e)",Transport reactions,both,0.0,-0.0134550771840768,0.0134550771840768,Am,True,False
MAR11974,"Exchange of fructose-1,6-bisphosphate",Exchange/demand reactions,both,0.0,-0.0134550771840768,0.0134550771840768,Am,True,False
MAR04391,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase,Glycolysis / Gluconeogenesis,both,0.0,0.0134550275257427,-0.0134550275257427,Af,True,False
MAR06916,ATP phosphohydrolase (m/i),Oxidative phosphorylation,both,0.0168759308397018,0.0297909512181798,-0.012915020378478002,Af,True,True
MAR05527,Transport of proline/tryptophan (c->e/e->c),Transport reactions,Af only,0.0,-0.0128390326291418,0.0128390326291418,Am,True,False
MAR05531,Transport of homoserine/tryptophan (c->e/e->c),Transport reactions,both,0.0017955635100478,0.0143884297427809,-0.012592866232733101,Af,True,True
MAR06383,Transport of homoserine/Na+ (e->c) #2,Transport reactions,both,0.0017955635100478,0.0143884297427809,-0.012592866232733101,Af,True,True
MAR06725,L-Phenylalanine:2-oxoglutarate aminotransferase,"Phenylalanine, tyrosine and tryptophan biosynthesis",both,-0.0014291208533174,-0.0134761668403182,0.0120470459870008,Am,True,True
MAR11400,Exchange of fumarate,Exchange/demand reactions,both,0.0035544772464916,0.0152433681575144,-0.0116888909110228,Af,True,True
MAR04855,Transport of fumarate/malate (c->m/m->c),Transport reactions,both,-0.0035544772464916,-0.0152433681575144,0.0116888909110228,Am,True,True
MAR03789,Transport of methylmalonate (c->m),Transport reactions,both,0.0035544772464916,0.0152433681575144,-0.0116888909110228,Af,True,True
MAR03763,(S)-Methylmalonyl-CoA hydrolase,"Valine, leucine, and isoleucine metabolism",both,0.0035544772464916,0.0152433681575144,-0.0116888909110228,Af,True,True
MAR04652,succinate:quinone oxidoreductase,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,both,-0.0035544772464916,-0.0152433681575144,0.0116888909110228,Am,True,True
MAR03215,(R)-Methylmalonyl-CoA CoA-carbonylmutase,"Valine, leucine, and isoleucine metabolism",both,0.0035544772464916,0.0152433681575144,-0.0116888909110228,Af,True,True
MAR04852,Transport of AKG/malate (c->m/m->c),Transport reactions,both,0.0035544772464916,0.0152433681575144,-0.0116888909110228,Af,True,True
MAR10243,Exchange of methylmalonate,Exchange/demand reactions,both,-0.0035544772464916,-0.0152433681575144,0.0116888909110228,Am,True,True
MAR09828,Transport of fumarate (e->c),Transport reactions,both,-0.0035544772464916,-0.0152433681575144,0.0116888909110228,Am,True,True
MAR05126,Transport of proline (m->c),Transport reactions,both,0.0035544772464916,0.0152012012445631,-0.0116467239980715,Af,True,True
MAR04963,Transport of glutamate/proline (m->c/c->m),Transport reactions,both,0.0035544772464916,0.0152012012445631,-0.0116467239980715,Af,True,True
MAR06918,Transport of ferricytochrome C,Oxidative phosphorylation,both,0.0090303782942661,0.0196750369565701,-0.010644658662304001,Af,True,True
MAR03977,diphosphate phosphohydrolase (c),Oxidative phosphorylation,both,0.0,0.0104866835426706,-0.0104866835426706,Af,True,False
MAR09041,Exchange of lysine,Exchange/demand reactions,both,-0.0103702776140905,0.0,-0.0103702776140905,Af,False,True
MAR05071,Transport of lysine (e->c),Transport reactions,both,0.0103702776140905,0.0,0.0103702776140905,Am,False,True
MAR06912,diphosphate phosphohydrolase (m),Oxidative phosphorylation,both,0.0003176589108915,0.0103389676799975,-0.010021308769106,Af,True,True
MAR09072,Exchange of Pi,Exchange/demand reactions,both,0.0739447829780353,0.083952575150042,-0.010007792172006688,Af,True,True
MAR08987,Transport reaction #94,Transport reactions,both,0.0002534474500142,0.0101306376728294,-0.0098771902228152,Af,True,True
MAR03599,dopachrome reductase (c) #2,Tyrosine metabolism,Am only,0.0078169812019337,0.0,0.0078169812019337,Am,False,True
MAR04152,Succinate:CoA ligase (ADP-forming),Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,both,0.010337879963303,0.0173202241594316,-0.006982344196128599,Af,True,True
MAR06328,Transport reaction #50,Transport reactions,both,0.0268882590268331,0.020118954048005,0.006769304978828099,Am,True,True
MAR06367,Transport of deoxyadenosine (c->e),Transport reactions,Am only,-0.0066273562091295,0.0,-0.0066273562091295,Af,False,True
MAR09297,Exchange of deoxyadenosine,Exchange/demand reactions,Am only,-0.0066273562091295,0.0,-0.0066273562091295,Af,False,True
MAR04695,Deoxyadenosine:orthophosphate ribosyltransferase,Purine metabolism,Am only,-0.0065547451533099,0.0,-0.0065547451533099,Af,False,True
MAR04948,Transport of acetaldehyde (c->e),Transport reactions,both,0.0065547451533099,0.0,0.0065547451533099,Am,False,True
MAR04710,"2-deoxy-D-ribose 1-phosphate 1,5-phosphomutase",Pentose phosphate pathway,both,0.0065547451533099,0.0,0.0065547451533099,Am,False,True
MAR09242,Exchange of acetaldehyde,Exchange/demand reactions,both,0.0065547451533099,0.0,0.0065547451533099,Am,False,True
MAR04398,2-deoxy-D-ribose-5-phosphate lyase,Pentose phosphate pathway,both,0.0065547451533099,0.0,0.0065547451533099,Am,False,True
MAR11928,Transport of uroporphyrin I (c->e),Transport reactions,Af only,0.0,-0.0060411773565772,0.0060411773565772,Am,True,False
MAR09076,Exchange of Fe2+,Exchange/demand reactions,both,0.0,-0.0060411773565772,0.0060411773565772,Am,True,False
MAR04769,uroporphyrin I to uroporphyrinogen III,Porphyrin metabolism,Af only,0.0,0.0060411773565772,-0.0060411773565772,Af,True,False
MAR04752,Coproporphyrinogen:oxygen oxidoreductase(decarboxylating),Porphyrin metabolism,both,0.0,0.0060411773565772,-0.0060411773565772,Af,True,False
MAR04750,Uroporphyrinogen-III carboxy-lyase,Porphyrin metabolism,Af only,0.0,0.0060411773565772,-0.0060411773565772,Af,True,False
MAR11929,Exchange of uroporphyrin I,Exchange/demand reactions,Af only,0.0,-0.0060411773565772,0.0060411773565772,Am,True,False
MAR11316,Protoporphyrinogen Oxidase (Aerobic),Porphyrin metabolism,both,0.0,0.0060411773565772,-0.0060411773565772,Af,True,False
MAR05987,Transport of Fe2+ (e->c),Transport reactions,both,0.0,0.0060411773565772,-0.0060411773565772,Af,True,False
MAR11406,"Ferrochelatase, Cytosol",Porphyrin metabolism,both,0.0,0.0059791044389413,-0.0059791044389413,Af,True,False
MAR07735,Transport of heme (c->e),Transport reactions,both,0.0,0.0059791044389413,-0.0059791044389413,Af,True,False
MAR09107,Exchange of heme,Exchange/demand reactions,both,0.0,0.0059791044389413,-0.0059791044389413,Af,True,False
MAR04898,Transport reaction #23,Transport reactions,both,0.004515189147133,0.0099492497300298,-0.0054340605828968,Af,True,True
MAR06914,ferrocytochrome-c:oxygen oxidoreductase,Oxidative phosphorylation,both,0.004515189147133,0.009837518478285,-0.005322329331152,Af,True,True
MAR09996,Transport of Acetyl-L-Lysine (c->e),Transport reactions,both,0.0071089544929832,0.0022942985694432,0.004814655923540001,Am,True,True
MAR10197,Exchange of Acetyl-L-Lysine,Exchange/demand reactions,both,0.0071089544929832,0.0022942985694432,0.004814655923540001,Am,True,True
MAR09952,Hydrolysis of Acetyl-Lysine,Lysine metabolism,both,-0.0071089544929832,-0.0022942985694432,-0.004814655923540001,Af,True,True
ASCTm,Acetate:succinate CoA-transferase,Unassigned,both,0.0071089544929832,0.0022942985694432,0.004814655923540001,Am,True,True
MAR00061,Transport of acetate (c->m),Transport reactions,both,-0.0071089544929832,-0.0022942985694432,-0.004814655923540001,Af,True,True
MAR07638,Transport reaction #59,Transport reactions,both,0.0286013096634795,0.0238129512632161,0.004788358400263398,Am,True,True
MAR05536,Transport of phenylalanine/proline (c->e/e->c),Transport reactions,Af only,0.0,-0.0044745891657533,0.0044745891657533,Am,True,False
MAR09029,Exchange of N-carbamoyl-L-aspartate,Exchange/demand reactions,Af only,0.0,0.0043484308658933,-0.0043484308658933,Af,True,False
MAR09009,Transport of N-carbamoyl-L-aspartate (e->c),Transport reactions,Af only,0.0,-0.0043484308658933,0.0043484308658933,Am,True,False
MAR09940,Formation of Homocitrulline,Lysine metabolism,Af only,0.0,-0.0043484308658933,0.0043484308658933,Am,True,False
MAR04050,carbamoyl-phosphate:L-aspartate carbamoyltransferase,Pyrimidine metabolism,Af only,0.0,-0.0043484308658933,0.0043484308658933,Am,True,False
MAR10249,Exchange of Homocitrulline,Exchange/demand reactions,Af only,0.0,-0.0043484308658933,0.0043484308658933,Am,True,False
MAR10372,Transport of Homocitrulline (c->e),Transport reactions,Af only,0.0,-0.0043484308658933,0.0043484308658933,Am,True,False
MAR04481,Adenosine aminohydrolase (c),Purine metabolism,Am only,0.0040229322953053,0.0,0.0040229322953053,Am,False,True
MAR09070,Exchange of aspartate,Exchange/demand reactions,both,-0.0019421350648089,-0.0059482999804861,0.0040061649156772,Am,True,True
MAR07811,Transport of aspartate/Na+ (e->c/c->e),Transport reactions,both,0.0019421350648089,0.0059482999804861,-0.0040061649156772,Af,True,True
MAR08533,"2-COOH-2,3-dihydro-indole to dopachrome",Tyrosine metabolism,Am only,0.0039084906009668,0.0,0.0039084906009668,Am,False,True
MAR08486,adenosine:phosphate alpha-D-ribosyltransferase,Nucleotide metabolism,Am only,-0.003769484845291,0.0,-0.003769484845291,Af,False,True
MAR04413,Artificial reaction of alanine (c/n),Artificial reactions,both,0.005507931109731,0.001896659312076,0.0036112717976550003,Am,True,True
MAR11257,Carnitine shuttle of O-butanoylcarnitine (e->c),Transport reactions,Am only,0.0035544772464916,0.0,0.0035544772464916,Am,False,True
MAR00157,Transport of butyryl-CoA (c->m),Transport reactions,Am only,0.0035544772464916,0.0,0.0035544772464916,Am,False,True
MAR00159,Carnitine shuttle of butyryl-CoA (c),Carnitine shuttle (cytosolic),Am only,-0.0035544772464916,0.0,-0.0035544772464916,Af,False,True
MAR04889,Exchange of O-butanoylcarnitine,Exchange/demand reactions,Am only,-0.0035544772464916,0.0,-0.0035544772464916,Af,False,True
MAR10024,Exchange of biomass,Exchange/demand reactions,both,0.005507931109731,0.001958732229712,0.003549198880019,Am,True,True
MAR10023,Transport of biomass (c->e),Transport reactions,both,0.005507931109731,0.001958732229712,0.003549198880019,Am,True,True
MAR09025,Exchange of 5-oxoproline,Exchange/demand reactions,Af only,0.0,0.0033798440491306,-0.0033798440491306,Af,True,False
MAR09005,Transport of Na+/5-oxoproline (e->c),Transport reactions,Af only,0.0,-0.0033798440491306,0.0033798440491306,Am,True,False
MAR09338,Exchange of (5-L-glutamyl)-L-amino acid,Exchange/demand reactions,Af only,0.0,-0.0033798440491306,0.0033798440491306,Am,True,False
MAR08770,(5-glutamyl)-amino acid cleavage,Glutathione metabolism,Af only,0.0,0.0033798440491306,-0.0033798440491306,Af,True,False
MAR06911,ubiquinone to ubiquinol (m),Oxidative phosphorylation,both,0.0035544772464916,0.0003980282546053,0.0031564489918863,Am,True,True
MAR05449,βO butyryl-CoA,Fatty acid oxidation,both,0.0035544772464916,0.0004538938804777,0.0031005833660139002,Am,True,True
MAR04914,Transport reaction #33,Transport reactions,both,-0.0036829001682461,-0.0005850184736884,-0.0030978816945577,Af,True,True
MAR01525,Transport of chloride/HCO3 (c->e/e->c),Transport reactions,both,0.003078101792742,6.207291763596827e-05,0.0030160288751060315,Am,True,True
MAR08676,Carnitine shuttle of L-carnitine (c->e) #2,Transport reactions,both,0.0035544772464916,0.0005407959651681,0.0030136812813235,Am,True,True
MAR09292,Exchange of L-carnitine,Exchange/demand reactions,both,0.0035544772464916,0.0005407959651681,0.0030136812813235,Am,True,True
MAR09047,Exchange of H2O,Exchange/demand reactions,Am only,-0.0030059974665845,0.0,-0.0030059974665845,Af,False,True
MAR05407,carbonate hydro-lyase (carbon-dioxide-forming) (e),Miscellaneous,Am only,0.0030059974665845,0.0,0.0030059974665845,Am,False,True
MAR04847,Transport of adenine (c->e),Transport reactions,Am only,0.0027852603080189,0.0,0.0027852603080189,Am,False,True
MAR09253,Exchange of adenine,Exchange/demand reactions,Am only,0.0027852603080189,0.0,0.0027852603080189,Am,False,True
MAR09061,Exchange of alanine,Exchange/demand reactions,both,-0.0027849531752888,0.0,-0.0027849531752888,Af,False,True
MAR05305,Transport of alanine/Na+ (e->c),Transport reactions,both,0.0027849531752888,0.0,0.0027849531752888,Am,False,True
MAR09079,Exchange of H+,Exchange/demand reactions,both,0.0206465314344664,0.0230685623415135,-0.0024220309070470993,Af,True,True
MAR09068,Exchange of proline,Exchange/demand reactions,Af only,0.0,-0.0024161434829023,0.0024161434829023,Am,True,False
MAR05131,L-Alanine:tRNA(Ala) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,both,0.0,0.0023587708701668,-0.0023587708701668,Af,True,False
MAR05141,L-Leucine:tRNA(Leu) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,both,0.0,0.0022966979525308,-0.0022966979525308,Af,True,False
MAR11403,Exchange of Glycylproline,Exchange/demand reactions,Am only,-0.0022719334558662,0.0,-0.0022719334558662,Af,False,True
MAR11414,Hydrolysis of Prolylglycine,Transport reactions,Am only,0.0022719334558662,0.0,0.0022719334558662,Am,False,True
MAR10486,Transport of Glycylproline (c->e),Transport reactions,Am only,-0.0022719334558662,0.0,-0.0022719334558662,Af,False,True
MAR08997,Transport of ubiquinol (m->c),Transport reactions,both,-0.0019214238012829,-0.0040957134620862,0.0021742896608033,Am,True,True
MAR08991,Transport of ubiquinol (c->e),Transport reactions,both,-0.0019214238012829,-0.0040957134620862,0.0021742896608033,Am,True,True
MAR08967,Exchange of ubiquinol,Exchange/demand reactions,both,-0.0019214238012829,-0.0040957134620862,0.0021742896608033,Am,True,True
MAR05320,Transport of Gly/Na+ (e->c),Transport reactions,both,0.0006962410477877,0.0028222072447871,-0.0021259661969994003,Af,True,True
MAR09067,Exchange of Gly,Exchange/demand reactions,both,-0.0006962410477877,-0.0028222072447871,0.0021259661969994003,Am,True,True
MAR09883,Transport of AKG/folate (c->e/e->c),Transport reactions,Am only,-0.0021253563931741,0.0,-0.0021253563931741,Af,False,True
MAR09884,Transport of folate/sulfate (e->c/c->e),Transport reactions,Am only,0.0021253563931741,0.0,0.0021253563931741,Am,False,True
MAR10364,Transport of methylmalonate/sulfate (c->e/e->c),Transport reactions,Am only,0.0021253563931741,0.0,0.0021253563931741,Am,False,True
MAR08998,Transport of ubiquinone (c->m),Transport reactions,both,-0.0019214238012829,-0.0040336405444503,0.0021122167431673997,Am,True,True
MAR08966,Exchange of ubiquinone,Exchange/demand reactions,both,0.0019214238012829,0.0040336405444503,-0.0021122167431673997,Af,True,True
MAR07819,Transport of ubiquinone (e->c),Transport reactions,both,-0.0019214238012829,-0.0040336405444503,0.0021122167431673997,Am,True,True
MAR05322,Transport of Na+/proline (e->c),Transport reactions,Am only,0.0019421350648089,0.0,0.0019421350648089,Am,False,True
MAR04080,AMP aminohydrolase,Purine metabolism,Af only,0.0,0.001930997005053,-0.001930997005053,Af,True,False
MAR09360,Exchange of IMP,Exchange/demand reactions,Af only,0.0,0.001930997005053,-0.001930997005053,Af,True,False
MAR09838,Transport of IMP (e->c),Transport reactions,Af only,0.0,-0.001930997005053,0.001930997005053,Am,True,False
MAR04874,Transport of NH3 (c->m),Transport reactions,both,0.0035544772464916,0.0017672013171962,0.0017872759292954,Am,True,True
MAR03802,L-glutamate:NAD+ oxidoreductase (deaminating),"Alanine, aspartate and glutamate metabolism",both,0.0035544772464916,0.0017672013171962,0.0017872759292954,Am,True,True
MAR12867,uptake of torasemide into hepatocytes via OAT1,Drug metabolism,Af only,0.0,-0.0017672013171962,0.0017672013171962,Am,True,False
MAR05303,Transport reaction #43,Transport reactions,both,-0.0005488267795669,-0.0022923503390161,0.0017435235594492002,Am,True,True
MAR00569,Exchange of ATP,Exchange/demand reactions,both,-0.0005488267795669,-0.0022923503390161,0.0017435235594492002,Am,True,True
MAR05138,glycine:tRNA(Gly) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,both,0.0,0.0017380416938071,-0.0017380416938071,Af,True,False
MAR05146,L-proline:tRNA(Pro) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,both,0.0,0.0016138958585352,-0.0016138958585352,Af,True,False
MAR05316,Transport of isoleucine/Na+ (e->c),Transport reactions,Am only,0.0015756979160096,0.0,0.0015756979160096,Am,False,True
MAR05147,L-Serine:tRNA(Ser) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,both,0.0,0.0015518229408992,-0.0015518229408992,Af,True,False
MAR09872,Transport of asparagine/chloride (e->c) #2,Transport reactions,Am only,0.0015390536503365,0.0,0.0015390536503365,Am,False,True
MAR10440,Exchange of Phenyllactate,Exchange/demand reactions,Am only,-0.0014291208533174,0.0,-0.0014291208533174,Af,False,True
MAR09960,Transport of Phenyllactate (c->e),Transport reactions,Am only,-0.0014291208533174,0.0,-0.0014291208533174,Af,False,True
MAR09936,Formation of Phenyl-Lactate,Phenylalanine metabolism,Am only,0.0014291208533174,0.0,0.0014291208533174,Am,False,True
MAR05132,L-Arginine:tRNA(Arg) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,both,0.0,0.0014276771056273,-0.0014276771056273,Af,True,False
MAR05150,L-Valine:tRNAVal ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,both,0.0,0.0012414583527194,-0.0012414583527194,Af,True,False
MAR05533,Transport of phenylalanine/tyrosine (c->e/e->c),Transport reactions,Af only,0.0,0.001233935253558,-0.001233935253558,Af,True,False
MAR09043,Exchange of phenylalanine,Exchange/demand reactions,Af only,0.0,-0.0011749206990628,0.0011749206990628,Am,True,False
MAR05324,Transport of methionine/Na+ (e->c),Transport reactions,Af only,0.0,0.0010971709438828,-0.0010971709438828,Af,True,False
MAR12868,Transport of Torasemide (e->c),Drug metabolism,Af only,0.0,0.0010929417767421,-0.0010929417767421,Af,True,False
MAR05541,Transport of isoleucine/phenylalanine (c->e/e->c),Transport reactions,Af only,0.0,-0.0009771029261318,0.0009771029261318,Am,True,False
MAR05137,L-glutamate:tRNA(Glu) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,both,0.0,0.0009310937645395,-0.0009310937645395,Af,True,False
MAR05537,Transport of asparagine/phenylalanine (c->e/e->c),Transport reactions,Af only,0.0,-0.0009024115340926,0.0009024115340926,Am,True,False
MAR05318,Transport of Na+/tyrosine (e->c),Transport reactions,Am only,0.0008794568682218,0.0,0.0008794568682218,Am,False,True
MAR05143,L-Methionine:tRNAMet ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,both,0.0,0.0008690208469035,-0.0008690208469035,Af,True,False
MAR05130,L-Tyrosine:tRNA(Tyr) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,both,0.0,0.0008690208469035,-0.0008690208469035,Af,True,False
MAR05142,L-lysine:tRNALys ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,both,0.0,0.0008690208469035,-0.0008690208469035,Af,True,False
MAR05134,L-Aspartate:tRNA(Asp) ligase (AMP-forming),Aminoacyl-tRNA biosynthesis,both,0.0,0.0008690208469035,-0.0008690208469035,Af,True,False
MAR09895,Transport of chloride/methionine (e->c) #2,Transport reactions,Am only,0.0008428126025488,0.0,0.0008428126025488,Am,False,True
MAR05308,Transport of glutamine/Na+ (e->c),Transport reactions,both,0.0017955635100478,0.0011148866901873,0.0006806768198605001,Am,True,True
MAR09063,Exchange of glutamine,Exchange/demand reactions,both,-0.0017955635100478,-0.0011148866901873,-0.0006806768198605001,Af,True,True
MAR12866,Transport of chloride/Torasemide (e->c/c->e),Drug metabolism,Af only,0.0,-0.000674259540454,0.000674259540454,Am,True,False
MAR04655,dihydrofolate:NADP+ oxidoreductase (c),Folate metabolism,Af only,0.0,-0.0006653225913076,0.0006653225913076,Am,True,False
MAR04335,"5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase (m)",Folate metabolism,Af only,0.0,0.0006653225913076,-0.0006653225913076,Af,True,False
